475243167,Look in My Eyes: Math Facts,FIZZBRAIN LLC,Apple App Store,"iPad, iPhone",Paid,2011-11-01,No,"Education, Entertainment",No,45,,0.0,94,,0.0
air.atebol.sgiliaucymdeithasol.Undressing,Undressing,Atebol,Google Store,All,Paid,2014-05-27,No,Education,No,41,,0.0,27,,0.0
975104570,3D StackMaster,Totalidea Software GmbH,Apple App Store,iPad,Free,2015-03-11,No,"Games, Education, Educational (Games), Family (Games)",No,41,,0.0,0,,0.0
575476804,ASD Browser,Dynamics Therapy Centre for Kids Pte Ltd,Apple App Store,iPad,Paid,2012-11-29,No,"Education, Lifestyle",No,38,,0.0,24,,0.0
880608265,Jungle Crystal,Donnie Roland,Apple App Store,"iPad, iPhone",Free,2014-05-23,No,"Games, Action (Games), Adventure (Games)",No,37,,0.0,0,,0.0
415156599,Eye Contact - Zoo,FIZZBRAIN LLC,Apple App Store,"iPad, iPhone",Paid,2011-01-20,No,"Education, Health & Fitness",No,36,,0.0,75,,0.0
932736764,Asperger Syndrome Awareness,Tobit.Software,Apple App Store,"iPad, iPhone",Free,2014-11-01,No,Lifestyle,No,32,,0.0,0,,0.0
com.phonegap.TurnTaker,Turn Taker - Autism,Touch Autism,Google Store,All,Paid,2010-10-31,No,Education,No,32,,0.0,71,,0.0
688640586,The Mighty League Vol 1 - The Terrible Taunting - A Blackfish Children's Book,Customizabooks LLC,Apple App Store,"iPad, iPhone",Free,2013-09-02,No,"Games, Educational (Games), Books, Family (Games)",No,31,,0.0,86,,0.0
971720005,Table it! – Students with special needs learn to organize their world of knowledge,C.E.T - THE CENTER FOR EDUCATIONAL TECHNOLOGY,Apple App Store,iPad,Paid,2015-09-29,No,Education,No,31,,0.0,109,,0.0
es11400.L1HSA15,Historia Síndrome de Asperger,"PSYLICOM, S.L.",Google Store,All,Paid,2015-06-23,No,Books and Reference,No,30,,0.0,147,,0.0
